"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"86","7","7","300","8","0","0","70","0","0.61","0.39"
"91","7","7","300","8","0","0","48","0","0.5433333333333333","0.45666666666666667"
"67","7","7","300","8","0","0","67","0","0.64","0.36"
"87","7","7","300","8","0","0","70","0","0.5433333333333333","0.45666666666666667"
"94","7","7","300","8","0","0","50","0","0.5233333333333333","0.4766666666666667"
"92","7","7","300","8","0","0","70","0","0.62","0.38"
"96","7","7","300","8","0","0","62","0","0.41","0.59"
"97","7","7","300","8","0","0","70","0","0.39","0.61"
"90","7","7","300","8","0","0","70","0","0.5033333333333333","0.49666666666666665"
"98","7","7","300","8","0","0","56","0","0.5633333333333334","0.43666666666666665"
"93","7","7","300","8","0","0","70","0","0.3933333333333333","0.6066666666666667"
"100","7","7","300","8","0","0","47","0","0.41","0.59"
"88","7","7","300","8","0","0","70","0","0.46","0.54"
"103","7","7","300","8","0","0.05","70","0","0.57","0.43"
"102","7","7","300","8","0","0.05","64","0","0.5566666666666666","0.44333333333333336"
"95","7","7","300","8","0","0","59","0","0.42","0.58"
"99","7","7","300","8","0","0","70","0","0.35333333333333333","0.6466666666666666"
"89","7","7","300","8","0","0","70","0","0.5333333333333333","0.4666666666666667"
"108","7","7","300","8","0","0.05","70","0","0.6033333333333334","0.39666666666666667"
"101","7","7","300","8","0","0.05","48","0","0.63","0.37"
"107","7","7","300","8","0","0.05","70","0","0.5766666666666667","0.42333333333333334"
"106","7","7","300","8","0","0.05","70","0","0.5366666666666666","0.4633333333333333"
"110","7","7","300","8","0","0.05","70","0","0.7166666666666667","0.2833333333333333"
"105","7","7","300","8","0","0.05","70","0","0.65","0.35"
"104","7","7","300","8","0","0.05","70","0","0.5833333333333334","0.4166666666666667"
"111","7","7","300","8","0","0.05","70","0","0.5733333333333334","0.4266666666666667"
"112","7","7","300","8","0","0.05","70","0","0.73","0.27"
"109","7","7","300","8","0","0.05","67","0","0.6233333333333333","0.37666666666666665"
"118","7","7","300","8","0","0.05","70","0","0.6633333333333333","0.33666666666666667"
"113","7","7","300","8","0","0.05","70","0","0.7033333333333334","0.2966666666666667"
"114","7","7","300","8","0","0.05","70","0","0.5133333333333333","0.4866666666666667"
"117","7","7","300","8","0","0.05","67","0","0.52","0.48"
"119","7","7","300","8","0","0.05","70","0","0.6233333333333333","0.37666666666666665"
"116","7","7","300","8","0","0.05","70","0","0.5566666666666666","0.44333333333333336"
"121","7","7","300","8","0","0.05","70","0","0.6","0.4"
"123","7","7","300","8","0","0.05","70","0","0.56","0.44"
"122","7","7","300","8","0","0.05","47","0","0.31","0.69"
"120","7","7","300","8","0","0.05","66","0","0.4533333333333333","0.5466666666666666"
"129","7","7","300","8","0","0.05","45","0","0.6066666666666667","0.3933333333333333"
