threshold-idea1,threshold-idea2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.0,0.0,50.5,7.0,7.0,300.0,8.0,69.37,3.333333e-05,0.49256666663,0.5074000000400001
0.0,0.05,150.5,7.0,7.0,300.0,8.0,57.29,0.0,0.5936666667,0.4063333333
0.0,0.1,250.5,7.0,7.0,300.0,8.0,57.91,0.0,0.67159999997,0.32840000003
0.0,0.15,350.5,7.0,7.0,300.0,8.0,60.31,3.333333e-05,0.8829666667000001,0.11699999996
0.0,0.2,450.5,7.0,7.0,300.0,8.0,46.98,3.333333e-05,0.9734333333499999,0.026533333319999998
0.0,0.25,550.5,7.0,7.0,300.0,8.0,37.73,0.0,0.99653333332,0.00346666668
0.0,0.3,650.5,7.0,7.0,300.0,8.0,35.53,6.666666e-05,0.9978666666799999,0.00206666666
0.0,0.35,750.5,7.0,7.0,300.0,8.0,31.48,0.0,0.9995666666799999,0.00043333332
0.0,0.4,850.5,7.0,7.0,300.0,8.0,29.83,0.0,1.0,0.0
0.0,0.45,950.5,7.0,7.0,300.0,8.0,28.89,0.00066666666,0.99933333334,0.0
0.0,0.5,1050.5,7.0,7.0,300.0,8.0,32.48,0.0002,0.99970000001,9.999998999999999e-05
0.0,0.55,1150.5,7.0,7.0,300.0,8.0,33.44,3.333333e-05,0.99990000001,6.666666e-05
0.0,0.6,1250.5,7.0,7.0,300.0,8.0,32.0,0.0,0.99996666667,3.333333e-05
0.0,0.65,1350.5,7.0,7.0,300.0,8.0,32.28,0.0,0.99993333334,6.666666e-05
0.0,0.7,1450.5,7.0,7.0,300.0,8.0,30.8,3.333333e-05,0.99996666667,0.0
0.0,0.75,1550.5,7.0,7.0,300.0,8.0,32.8,0.0,1.0,0.0
0.0,0.8,1650.5,7.0,7.0,300.0,8.0,29.64,0.0,1.0,0.0
0.0,0.85,1750.5,7.0,7.0,300.0,8.0,31.68,3.333333e-05,0.99996666667,0.0
0.0,0.9,1850.5,7.0,7.0,300.0,8.0,31.76,0.0,1.0,0.0
0.0,0.95,1950.5,7.0,7.0,300.0,8.0,31.35,3.333333e-05,0.99996666667,0.0
0.0,1.0,2050.5,7.0,7.0,300.0,8.0,31.83,0.0,1.0,0.0
0.05,0.0,2150.5,7.0,7.0,300.0,8.0,56.82,3.333333e-05,0.42449999994000004,0.57546666672
0.05,0.05,2250.5,7.0,7.0,300.0,8.0,69.36,0.0,0.50423333332,0.49576666668
0.05,0.1,2350.5,7.0,7.0,300.0,8.0,57.91,3.333333e-05,0.62893333334,0.37103333332
0.05,0.15,2450.5,7.0,7.0,300.0,8.0,54.88,0.0,0.83730000004,0.16269999995999998
0.05,0.2,2550.5,7.0,7.0,300.0,8.0,47.66,3.333333e-05,0.9610666667,0.03889999996
0.05,0.25,2650.5,7.0,7.0,300.0,8.0,36.1,0.0,0.99636666667,0.0036333333300000003
0.05,0.3,2750.5,7.0,7.0,300.0,8.0,34.98,3.333333e-05,0.9985000000200001,0.00146666665
0.05,0.35,2850.5,7.0,7.0,300.0,8.0,31.74,0.0,0.99996666667,3.333333e-05
0.05,0.4,2950.5,7.0,7.0,300.0,8.0,30.39,0.0,1.0,0.0
