[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
1,14,14,300,8,0,0,70,0,0.42,0.58
2,14,14,300,8,0,0,70,0,0.613333333,0.386666667
3,14,14,300,8,0,0,70,0,0.403333333,0.596666667
4,14,14,300,8,0,0,70,0,0.673333333,0.326666667
5,14,14,300,8,0,0,70,0,0.543333333,0.456666667
6,14,14,300,8,0,0,70,0,0.36,0.64
7,14,14,300,8,0,0,70,0,0.53,0.47
8,14,14,300,8,0,0,70,0,0.526666667,0.473333333
9,14,14,300,8,0,0,70,0,0.403333333,0.596666667
10,14,14,300,8,0,0,70,0,0.63,0.37
11,14,14,300,8,0,0,70,0,0.51,0.49
12,14,14,300,8,0,0,70,0,0.546666667,0.453333333
13,14,14,300,8,0,0,70,0,0.493333333,0.506666667
14,14,14,300,8,0,0,70,0,0.663333333,0.336666667
15,14,14,300,8,0,0,70,0,0.623333333,0.376666667
16,14,14,300,8,0,0,70,0,0.583333333,0.416666667
17,14,14,300,8,0,0,70,0,0.57,0.43
18,14,14,300,8,0,0,70,0,0.55,0.45
19,14,14,300,8,0,0,70,0,0.47,0.53
20,14,14,300,8,0,0,70,0,0.65,0.35
21,14,14,300,8,0,0,70,0,0.476666667,0.523333333
22,14,14,300,8,0,0,70,0,0.42,0.58
23,14,14,300,8,0,0,70,0,0.486666667,0.513333333
24,14,14,300,8,0,0,70,0,0.493333333,0.506666667
25,14,14,300,8,0,0,70,0,0.566666667,0.433333333
26,14,14,300,8,0,0,70,0,0.47,0.53
27,14,14,300,8,0,0,70,0,0.506666667,0.493333333
28,14,14,300,8,0,0,70,0,0.413333333,0.586666667
29,14,14,300,8,0,0,70,0,0.47,0.53
30,14,14,300,8,0,0,70,0,0.406666667,0.593333333
31,14,14,300,8,0,0,70,0,0.666666667,0.333333333
32,14,14,300,8,0,0,70,0,0.273333333,0.726666667
33,14,14,300,8,0,0,70,0,0.396666667,0.603333333
34,14,14,300,8,0,0,70,0,0.676666667,0.323333333
35,14,14,300,8,0,0,70,0,0.49,0.51
36,14,14,300,8,0,0,70,0,0.613333333,0.386666667
37,14,14,300,8,0,0,70,0,0.586666667,0.413333333
38,14,14,300,8,0,0,70,0,0.393333333,0.606666667
39,14,14,300,8,0,0,70,0,0.61,0.39
40,14,14,300,8,0,0,37,0,0.45,0.55
41,14,14,300,8,0,0,70,0,0.456666667,0.543333333
42,14,14,300,8,0,0,70,0,0.486666667,0.513333333
43,14,14,300,8,0,0,70,0,0.566666667,0.433333333
44,14,14,300,8,0,0,70,0,0.49,0.51
45,14,14,300,8,0,0,70,0,0.44,0.56
46,14,14,300,8,0,0,70,0,0.543333333,0.456666667
47,14,14,300,8,0,0,70,0,0.546666667,0.453333333
48,14,14,300,8,0,0,70,0,0.33,0.67
49,14,14,300,8,0,0,70,0,0.716666667,0.283333333
50,14,14,300,8,0,0,70,0,0.44,0.56
51,14,14,300,8,0,0,70,0,0.63,0.37
52,14,14,300,8,0,0,70,0,0.596666667,0.403333333
53,14,14,300,8,0,0,70,0,0.32,0.68
54,14,14,300,8,0,0,70,0,0.45,0.55
55,14,14,300,8,0,0,70,0,0.44,0.56
56,14,14,300,8,0,0,70,0,0.44,0.56
57,14,14,300,8,0,0,70,0,0.473333333,0.526666667
58,14,14,300,8,0,0,70,0,0.62,0.38
59,14,14,300,8,0,0,70,0,0.45,0.55
60,14,14,300,8,0,0,70,0,0.45,0.55
61,14,14,300,8,0,0,70,0,0.533333333,0.466666667
62,14,14,300,8,0,0,70,0,0.573333333,0.426666667
63,14,14,300,8,0,0,70,0,0.543333333,0.456666667
64,14,14,300,8,0,0,70,0,0.466666667,0.533333333
65,14,14,300,8,0,0,70,0,0.336666667,0.663333333
66,14,14,300,8,0,0,70,0,0.586666667,0.413333333
67,14,14,300,8,0,0,70,0,0.493333333,0.506666667
68,14,14,300,8,0,0,70,0,0.436666667,0.563333333
69,14,14,300,8,0,0,70,0,0.616666667,0.383333333
70,14,14,300,8,0,0,70,0,0.566666667,0.433333333
71,14,14,300,8,0,0,70,0,0.363333333,0.636666667
72,14,14,300,8,0,0,70,0,0.503333333,0.496666667
73,14,14,300,8,0,0,70,0,0.436666667,0.563333333
74,14,14,300,8,0,0,70,0,0.606666667,0.393333333
75,14,14,300,8,0,0,70,0,0.563333333,0.436666667
76,14,14,300,8,0,0,70,0,0.67,0.33
77,14,14,300,8,0,0,62,0,0.543333333,0.456666667
78,14,14,300,8,0,0,60,0,0.616666667,0.383333333
79,14,14,300,8,0,0,70,0,0.48,0.52
