mean-threshold1,mean-threshold2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.1,0.5,5250.5,5.0,5.0,300.0,8.0,43.97,3.333333e-05,0.99996666667,0.0
0.1,0.55,5350.5,5.0,5.0,300.0,8.0,42.41,0.0,1.0,0.0
0.1,0.6,5450.5,5.0,5.0,300.0,8.0,43.49,0.0,1.0,0.0
0.1,0.65,5550.5,5.0,5.0,300.0,8.0,43.53,0.0,1.0,0.0
0.1,0.7,5650.5,5.0,5.0,300.0,8.0,42.11,3.333333e-05,0.99996666667,0.0
0.1,0.75,5750.5,5.0,5.0,300.0,8.0,44.74,0.0005,0.9995,0.0
0.1,0.8,5850.5,5.0,5.0,300.0,8.0,43.08,0.0,1.0,0.0
0.1,0.85,5950.5,5.0,5.0,300.0,8.0,45.51,0.00033333333,0.99966666667,0.0
0.1,0.9,6050.5,5.0,5.0,300.0,8.0,44.61,0.0,1.0,0.0
0.1,0.95,6150.5,5.0,5.0,300.0,8.0,42.88,3.333333e-05,0.99996666667,0.0
0.1,1.0,6250.5,5.0,5.0,300.0,8.0,45.62,0.0011,0.99886666667,3.333333e-05
0.15,0.0,6350.5,5.0,5.0,300.0,8.0,85.7,6.666667000000001e-05,0.23110000004,0.7688333332899999
0.15,0.05,6450.5,5.0,5.0,300.0,8.0,83.5,3.333333e-05,0.25513333334,0.74483333333
0.15,0.1,6550.5,5.0,5.0,300.0,8.0,74.24,0.0,0.34163333338,0.65836666662
0.15,0.15,6650.5,5.0,5.0,300.0,8.0,73.81,0.0014333333300000002,0.48966666668000003,0.50889999999
0.15,0.2,6750.5,5.0,5.0,300.0,8.0,70.99,3.333333e-05,0.7719000000299999,0.22806666664000003
0.15,0.25,6850.5,5.0,5.0,300.0,8.0,66.17,0.0004,0.93656666667,0.06303333333
0.15,0.3,6950.5,5.0,5.0,300.0,8.0,51.08,0.0008666666599999998,0.9924666666599999,0.00666666667
0.15,0.35,7050.5,5.0,5.0,300.0,8.0,46.29,6.666666e-05,0.99930000001,0.00063333333
0.15,0.4,7150.5,5.0,5.0,300.0,8.0,45.21,0.0007666666599999999,0.9992000000100001,3.333333e-05
0.15,0.45,7250.5,5.0,5.0,300.0,8.0,44.81,0.0014333333300000002,0.9985666666699999,0.0
0.15,0.5,7350.5,5.0,5.0,300.0,8.0,45.12,0.0009333333399999999,0.9990333333300001,3.333333e-05
0.15,0.55,7450.5,5.0,5.0,300.0,8.0,46.03,0.00043333333000000003,0.9995666666699999,0.0
0.15,0.6,7550.5,5.0,5.0,300.0,8.0,47.79,0.0,1.0,0.0
0.15,0.65,7650.5,5.0,5.0,300.0,8.0,44.58,0.00043333333000000003,0.9995666666699999,0.0
0.15,0.7,7750.5,5.0,5.0,300.0,8.0,45.22,0.00093333333,0.99903333334,3.333333e-05
0.15,0.75,7850.5,5.0,5.0,300.0,8.0,44.47,0.00066666667,0.99933333333,0.0
0.15,0.8,7950.5,5.0,5.0,300.0,8.0,45.34,0.0007333333300000001,0.9992666666700001,0.0
0.15,0.85,8050.5,5.0,5.0,300.0,8.0,42.85,0.0,1.0,0.0
0.15,0.9,8150.5,5.0,5.0,300.0,8.0,43.83,0.0007000000000000001,0.9992333333400001,6.666667000000001e-05
0.15,0.95,8250.5,5.0,5.0,300.0,8.0,45.97,0.0,1.0,0.0
0.15,1.0,8350.5,5.0,5.0,300.0,8.0,45.68,0.00116666667,0.9988333333299999,0.0
0.2,0.0,8450.5,5.0,5.0,300.0,8.0,76.0,0.0,0.07260000001,0.92739999999
0.2,0.05,8550.5,5.0,5.0,300.0,8.0,80.36,0.0007333333300000001,0.10176666665,0.89750000002
0.2,0.1,8650.5,5.0,5.0,300.0,8.0,71.72,0.00076666667,0.14096666665000002,0.8582666666800001
0.2,0.15,8750.5,5.0,5.0,300.0,8.0,68.35,3.333333e-05,0.23516666668,0.7647999999799999
0.2,0.2,8850.5,5.0,5.0,300.0,8.0,66.43,0.0055000000000000005,0.49513333335,0.49936666662999996
0.2,0.25,8950.5,5.0,5.0,300.0,8.0,62.47,0.011633333340000001,0.82456666664,0.1638
0.2,0.3,9050.5,5.0,5.0,300.0,8.0,54.34,0.01296666666,0.96740000001,0.01963333333
0.2,0.35,9150.5,5.0,5.0,300.0,8.0,52.34,0.014366666669999998,0.98333333333,0.00229999999
0.2,0.4,9250.5,5.0,5.0,300.0,8.0,52.55,0.015066666670000001,0.98476666667,0.00016666667
0.2,0.45,9350.5,5.0,5.0,300.0,8.0,51.13,0.0126,0.98713333335,0.00026666666999999996
0.2,0.5,9450.5,5.0,5.0,300.0,8.0,49.12,0.01926666665,0.98036666667,0.00036666666
0.2,0.55,9550.5,5.0,5.0,300.0,8.0,50.53,0.00079999999,0.99916666667,3.333333e-05
0.2,0.6,9650.5,5.0,5.0,300.0,8.0,51.2,0.00393333334,0.99599999999,6.666667000000001e-05
0.2,0.65,9750.5,5.0,5.0,300.0,8.0,47.99,0.02316666666,0.9765000000099999,0.00033333334
0.2,0.7,9850.5,5.0,5.0,300.0,8.0,49.01,0.030166666659999997,0.96933333335,0.00050000001
0.2,0.75,9950.5,5.0,5.0,300.0,8.0,49.85,0.014800000010000001,0.98483333333,0.00036666667
0.2,0.8,10050.5,5.0,5.0,300.0,8.0,49.12,0.00366666667,0.9962999999900001,3.333333e-05
0.2,0.85,10150.5,5.0,5.0,300.0,8.0,50.05,0.012733333340000002,0.98703333333,0.00023333332999999997
0.2,0.9,10250.5,5.0,5.0,300.0,8.0,48.89,0.013300000010000002,0.9864,0.00030000000000000003
0.2,0.95,10350.5,5.0,5.0,300.0,8.0,48.75,0.02350000001,0.97606666667,0.00043333333000000003
0.2,1.0,10450.5,5.0,5.0,300.0,8.0,53.4,0.0021000000000000003,0.9979,0.0
0.25,0.0,10550.5,5.0,5.0,300.0,8.0,57.43,3.333333e-05,0.00943333332,0.99053333335
0.25,0.05,10650.5,5.0,5.0,300.0,8.0,60.39,0.00063333333,0.015533333330000001,0.98383333334
