[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
1,10,10,500,8,0.2,0.18,0,0.96,0.02,0.02
1,10,10,500,8,0.2,0.18,1,0.938,0.028,0.034
1,10,10,500,8,0.2,0.18,2,0.904,0.04,0.056
1,10,10,500,8,0.2,0.18,3,0.88,0.048,0.072
1,10,10,500,8,0.2,0.18,4,0.834,0.062,0.104
1,10,10,500,8,0.2,0.18,5,0.788,0.082,0.13
1,10,10,500,8,0.2,0.18,6,0.708,0.122,0.17
1,10,10,500,8,0.2,0.18,7,0.636,0.144,0.22
1,10,10,500,8,0.2,0.18,8,0.538,0.166,0.296
1,10,10,500,8,0.2,0.18,9,0.462,0.194,0.344
1,10,10,500,8,0.2,0.18,10,0.406,0.204,0.39
1,10,10,500,8,0.2,0.18,11,0.34,0.216,0.444
1,10,10,500,8,0.2,0.18,12,0.278,0.222,0.5
1,10,10,500,8,0.2,0.18,13,0.228,0.224,0.548
1,10,10,500,8,0.2,0.18,14,0.182,0.228,0.59
1,10,10,500,8,0.2,0.18,15,0.14,0.236,0.624
1,10,10,500,8,0.2,0.18,16,0.098,0.244,0.658
1,10,10,500,8,0.2,0.18,17,0.058,0.25,0.692
1,10,10,500,8,0.2,0.18,18,0.04,0.246,0.714
1,10,10,500,8,0.2,0.18,19,0.032,0.246,0.722
1,10,10,500,8,0.2,0.18,20,0.012,0.244,0.744
1,10,10,500,8,0.2,0.18,21,0.006,0.244,0.75
1,10,10,500,8,0.2,0.18,22,0,0.244,0.756
1,10,10,500,8,0.2,0.18,23,0,0.242,0.758
1,10,10,500,8,0.2,0.18,24,0,0.24,0.76
1,10,10,500,8,0.2,0.18,25,0,0.24,0.76
1,10,10,500,8,0.2,0.18,26,0,0.24,0.76
1,10,10,500,8,0.2,0.18,27,0,0.24,0.76
1,10,10,500,8,0.2,0.18,28,0,0.24,0.76
1,10,10,500,8,0.2,0.18,29,0,0.24,0.76
1,10,10,500,8,0.2,0.18,30,0,0.236,0.764
1,10,10,500,8,0.2,0.18,31,0,0.236,0.764
1,10,10,500,8,0.2,0.18,32,0,0.236,0.764
1,10,10,500,8,0.2,0.18,33,0,0.236,0.764
1,10,10,500,8,0.2,0.18,34,0,0.236,0.764
1,10,10,500,8,0.2,0.18,35,0,0.234,0.766
1,10,10,500,8,0.2,0.18,36,0,0.232,0.768
1,10,10,500,8,0.2,0.18,37,0,0.232,0.768
1,10,10,500,8,0.2,0.18,38,0,0.232,0.768
1,10,10,500,8,0.2,0.18,39,0,0.232,0.768
1,10,10,500,8,0.2,0.18,40,0,0.232,0.768
1,10,10,500,8,0.2,0.18,41,0,0.232,0.768
1,10,10,500,8,0.2,0.18,42,0,0.232,0.768
1,10,10,500,8,0.2,0.18,43,0,0.23,0.77
1,10,10,500,8,0.2,0.18,44,0,0.23,0.77
1,10,10,500,8,0.2,0.18,45,0,0.23,0.77
1,10,10,500,8,0.2,0.18,46,0,0.23,0.77
1,10,10,500,8,0.2,0.18,47,0,0.23,0.77
2,10,10,500,8,0.2,0.18,0,0.96,0.02,0.02
2,10,10,500,8,0.2,0.18,1,0.924,0.028,0.048
2,10,10,500,8,0.2,0.18,2,0.868,0.036,0.096
2,10,10,500,8,0.2,0.18,3,0.782,0.06,0.158
2,10,10,500,8,0.2,0.18,4,0.69,0.072,0.238
2,10,10,500,8,0.2,0.18,5,0.602,0.084,0.314
2,10,10,500,8,0.2,0.18,6,0.514,0.098,0.388
2,10,10,500,8,0.2,0.18,7,0.414,0.132,0.454
2,10,10,500,8,0.2,0.18,8,0.296,0.172,0.532
2,10,10,500,8,0.2,0.18,9,0.2,0.202,0.598
2,10,10,500,8,0.2,0.18,10,0.142,0.22,0.638
2,10,10,500,8,0.2,0.18,11,0.102,0.222,0.676
2,10,10,500,8,0.2,0.18,12,0.068,0.22,0.712
2,10,10,500,8,0.2,0.18,13,0.034,0.224,0.742
2,10,10,500,8,0.2,0.18,14,0.028,0.222,0.75
2,10,10,500,8,0.2,0.18,15,0.028,0.216,0.756
2,10,10,500,8,0.2,0.18,16,0.028,0.21,0.762
2,10,10,500,8,0.2,0.18,17,0.028,0.212,0.76
2,10,10,500,8,0.2,0.18,18,0.028,0.208,0.764
2,10,10,500,8,0.2,0.18,19,0.028,0.206,0.766
2,10,10,500,8,0.2,0.18,20,0.028,0.202,0.77
2,10,10,500,8,0.2,0.18,21,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,22,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,23,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,24,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,25,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,26,0.028,0.2,0.772
2,10,10,500,8,0.2,0.18,27,0.028,0.198,0.774
2,10,10,500,8,0.2,0.18,28,0.028,0.198,0.774
2,10,10,500,8,0.2,0.18,29,0.028,0.196,0.776
2,10,10,500,8,0.2,0.18,30,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,31,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,32,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,33,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,34,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,35,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,36,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,37,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,38,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,39,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,40,0.028,0.194,0.778
2,10,10,500,8,0.2,0.18,41,0.028,0.192,0.78
2,10,10,500,8,0.2,0.18,42,0.028,0.192,0.78
2,10,10,500,8,0.2,0.18,43,0.028,0.192,0.78
2,10,10,500,8,0.2,0.18,44,0.028,0.19,0.782
2,10,10,500,8,0.2,0.18,45,0.028,0.19,0.782
2,10,10,500,8,0.2,0.18,46,0.028,0.19,0.782
2,10,10,500,8,0.2,0.18,47,0.028,0.19,0.782
2,10,10,500,8,0.2,0.18,48,0.028,0.19,0.782
2,10,10,500,8,0.2,0.18,49,0.028,0.188,0.784
2,10,10,500,8,0.2,0.18,50,0.028,0.188,0.784
2,10,10,500,8,0.2,0.18,51,0.028,0.188,0.784
2,10,10,500,8,0.2,0.18,52,0.028,0.188,0.784
2,10,10,500,8,0.2,0.18,53,0.028,0.188,0.784
3,10,10,500,8,0.2,0.18,0,0.96,0.02,0.02
3,10,10,500,8,0.2,0.18,1,0.936,0.028,0.036
3,10,10,500,8,0.2,0.18,2,0.886,0.04,0.074
3,10,10,500,8,0.2,0.18,3,0.816,0.054,0.13
3,10,10,500,8,0.2,0.18,4,0.73,0.07,0.2
3,10,10,500,8,0.2,0.18,5,0.622,0.088,0.29
4,10,10,500,8,0.2,0.18,0,0.96,0.02,0.02
4,10,10,500,8,0.2,0.18,1,0.928,0.038,0.034
4,10,10,500,8,0.2,0.18,2,0.862,0.062,0.076
