threshold-idea2,threshold-idea1,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.2,0.45,5150.5,5.0,5.0,300.0,8.0,39.7,0.4165666668,0.00733333346,0.57610000011
0.2,0.5,5250.5,5.0,5.0,300.0,8.0,46.28,0.27243333341,0.0046666667499999995,0.72290000007
0.2,0.55,5350.5,5.0,5.0,300.0,8.0,45.07,0.2322333334,0.00400000006,0.76376666672
0.2,0.6,5450.5,5.0,5.0,300.0,8.0,46.11,0.31836666677000003,0.005633333430000001,0.6760000000899999
0.2,0.65,5550.5,5.0,5.0,300.0,8.0,47.29,0.26143333341,0.00486666675,0.7337000001
0.2,0.7,5650.5,5.0,5.0,300.0,8.0,45.1,0.28246666674,0.0049000000799999995,0.71263333343
0.2,0.75,5750.5,5.0,5.0,300.0,8.0,43.74,0.34256666674,0.00616666677,0.65126666677
0.2,0.8,5850.5,5.0,5.0,300.0,8.0,46.02,0.28836666675,0.00500000007,0.70663333342
0.2,0.85,5950.5,5.0,5.0,300.0,8.0,47.95,0.24280000006000002,0.0042000000599999995,0.7530000000699999
0.2,0.9,6050.5,5.0,5.0,300.0,8.0,45.29,0.30853333341,0.00520000009,0.6862666667499999
0.2,0.95,6150.5,5.0,5.0,300.0,8.0,48.04,0.29033333337,0.00533333342,0.70433333339
0.2,1.0,6250.5,5.0,5.0,300.0,8.0,42.27,0.35740000008,0.00633333344,0.63626666677
0.3,0.0,6350.5,5.0,5.0,300.0,8.0,44.94,3.333333e-05,0.99996666667,0.0
0.3,0.05,6450.5,5.0,5.0,300.0,8.0,43.84,3.333333e-05,0.9991,0.00086666667
0.3,0.1,6550.5,5.0,5.0,300.0,8.0,44.99,0.0,0.9984999999999999,0.0015
0.3,0.15,6650.5,5.0,5.0,300.0,8.0,52.55,0.0,0.9965666666699999,0.00343333333
0.3,0.2,6750.5,5.0,5.0,300.0,8.0,45.77,0.36543333341,0.61043333342,0.02413333342
0.3,0.25,6850.5,5.0,5.0,300.0,8.0,29.0,0.81866666684,0.13550000019,0.045833333510000004
0.3,0.3,6950.5,5.0,5.0,300.0,8.0,24.27,0.9177000001000001,0.04323333354,0.03906666685
0.3,0.35,7050.5,5.0,5.0,300.0,8.0,21.38,0.9442000002100001,0.019433333639999998,0.03636666691
0.3,0.4,7150.5,5.0,5.0,300.0,8.0,20.18,0.95633333354,0.01710000031,0.02656666688
