threshold-idea1,threshold-idea2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.1,0.4,5050.5,14.0,14.0,300.0,8.0,36.93,0.0,0.99996666667,3.333333e-05
0.1,0.45,5150.5,14.0,14.0,300.0,8.0,40.15,0.0,0.99990000001,9.999998999999999e-05
0.1,0.5,5250.5,14.0,14.0,300.0,8.0,37.23,0.0,0.99996666667,3.333333e-05
0.1,0.55,5350.5,14.0,14.0,300.0,8.0,36.96,3.333333e-05,0.99990000001,6.666666e-05
0.1,0.6,5450.5,14.0,14.0,300.0,8.0,36.65,0.0,0.99996666667,3.333333e-05
0.1,0.65,5550.5,14.0,14.0,300.0,8.0,37.24,0.0,1.0,0.0
0.1,0.7,5650.5,14.0,14.0,300.0,8.0,35.58,3.333333e-05,0.99993333334,3.333333e-05
0.1,0.75,5750.5,14.0,14.0,300.0,8.0,34.34,0.0,1.0,0.0
0.1,0.8,5850.5,14.0,14.0,300.0,8.0,38.94,0.0,1.0,0.0
0.1,0.85,5950.5,14.0,14.0,300.0,8.0,37.31,0.0,0.99986666668,0.00013333332
0.1,0.9,6050.5,14.0,14.0,300.0,8.0,34.41,0.0,0.99996666667,3.333333e-05
0.1,0.95,6150.5,14.0,14.0,300.0,8.0,38.19,0.0,1.0,0.0
0.1,1.0,6250.5,14.0,14.0,300.0,8.0,36.34,0.0,1.0,0.0
0.15,0.0,6350.5,14.0,14.0,300.0,8.0,61.69,0.0,0.09396666671000001,0.9060333332899999
0.15,0.05,6450.5,14.0,14.0,300.0,8.0,60.0,9.999998999999999e-05,0.17303333334,0.82686666666
0.15,0.1,6550.5,14.0,14.0,300.0,8.0,60.88,0.0,0.22883333333,0.77116666667
0.15,0.15,6650.5,14.0,14.0,300.0,8.0,69.91,3.333333e-05,0.5116333333099999,0.48833333336
0.15,0.2,6750.5,14.0,14.0,300.0,8.0,54.23,0.0003,0.79206666665,0.20763333334999998
0.15,0.25,6850.5,14.0,14.0,300.0,8.0,51.16,0.0,0.92073333329,0.07926666671
0.15,0.3,6950.5,14.0,14.0,300.0,8.0,45.33,0.0,0.9810000000300001,0.01899999997
0.15,0.35,7050.5,14.0,14.0,300.0,8.0,41.4,0.00180000001,0.9935333333299999,0.00466666666
0.15,0.4,7150.5,14.0,14.0,300.0,8.0,39.42,0.0006,0.9979333333300001,0.00146666667
0.15,0.45,7250.5,14.0,14.0,300.0,8.0,37.65,0.00046666667,0.99953333333,0.0
0.15,0.5,7350.5,14.0,14.0,300.0,8.0,39.76,0.00176666667,0.9981333333400001,9.999998999999999e-05
0.15,0.55,7450.5,14.0,14.0,300.0,8.0,39.41,0.0025333333400000004,0.9973000000000001,0.00016666666
0.15,0.6,7550.5,14.0,14.0,300.0,8.0,38.09,0.0005,0.9994333333400001,6.666666e-05
0.15,0.65,7650.5,14.0,14.0,300.0,8.0,39.65,0.0004,0.9995666666699999,3.333333e-05
0.15,0.7,7750.5,14.0,14.0,300.0,8.0,37.09,0.0,1.0,0.0
0.15,0.75,7850.5,14.0,14.0,300.0,8.0,38.39,0.00123333333,0.9986000000199999,0.00016666665
0.15,0.8,7950.5,14.0,14.0,300.0,8.0,39.65,0.0010666666600000002,0.99883333334,9.999998999999999e-05
0.15,0.85,8050.5,14.0,14.0,300.0,8.0,38.06,0.0,0.99996666667,3.333333e-05
0.15,0.9,8150.5,14.0,14.0,300.0,8.0,39.13,0.00076666667,0.99913333334,0.0001
0.15,0.95,8250.5,14.0,14.0,300.0,8.0,37.59,0.0003,0.99966666667,3.333333e-05
0.15,1.0,8350.5,14.0,14.0,300.0,8.0,38.59,0.00036666666,0.9995333333499999,9.999998999999999e-05
0.2,0.0,8450.5,14.0,14.0,300.0,8.0,54.15,0.0,0.028166666669999996,0.9718333333299999
0.2,0.05,8550.5,14.0,14.0,300.0,8.0,54.4,3.333333e-05,0.04316666667,0.9568000000000001
0.2,0.1,8650.5,14.0,14.0,300.0,8.0,52.95,0.00016666667,0.10260000002,0.8972333333100001
0.2,0.15,8750.5,14.0,14.0,300.0,8.0,55.45,0.00036666666,0.2168,0.78283333333
0.2,0.2,8850.5,14.0,14.0,300.0,8.0,67.08,0.00590000001,0.49673333333,0.49736666667
0.2,0.25,8950.5,14.0,14.0,300.0,8.0,52.32,0.01956666664,0.77380000003,0.20663333332
0.2,0.3,9050.5,14.0,14.0,300.0,8.0,50.19,0.01483333333,0.9047999999799999,0.08036666666
0.2,0.35,9150.5,14.0,14.0,300.0,8.0,45.51,0.018200000009999998,0.9681999999900001,0.01359999997
0.2,0.4,9250.5,14.0,14.0,300.0,8.0,41.32,0.02603333334,0.97063333333,0.00333333334
0.2,0.45,9350.5,14.0,14.0,300.0,8.0,42.92,0.02063333334,0.9774666666999999,0.00189999998
0.2,0.5,9450.5,14.0,14.0,300.0,8.0,43.13,0.02726666667,0.97116666666,0.0015666666600000002
0.2,0.55,9550.5,14.0,14.0,300.0,8.0,40.38,0.01396666667,0.98533333335,0.00069999999
0.2,0.6,9650.5,14.0,14.0,300.0,8.0,42.05,0.01773333333,0.98096666669,0.0013
0.2,0.65,9750.5,14.0,14.0,300.0,8.0,41.94,0.018666666670000002,0.9804333333399999,0.00089999998
0.2,0.7,9850.5,14.0,14.0,300.0,8.0,42.54,0.0065666666799999995,0.99290000001,0.00053333332
0.2,0.75,9950.5,14.0,14.0,300.0,8.0,43.25,0.022833333320000003,0.97579999998,0.00136666665
0.2,0.8,10050.5,14.0,14.0,300.0,8.0,42.3,0.00303333332,0.99663333334,0.00033333332
0.2,0.85,10150.5,14.0,14.0,300.0,8.0,42.51,0.01093333333,0.9883000000200001,0.0007666666599999999
0.2,0.9,10250.5,14.0,14.0,300.0,8.0,42.55,0.00229999999,0.9974333333500001,0.00026666665
0.2,0.95,10350.5,14.0,14.0,300.0,8.0,41.7,0.013133333320000001,0.98600000001,0.00086666665
0.2,1.0,10450.5,14.0,14.0,300.0,8.0,42.96,0.008,0.9914999999799999,0.00049999999
0.25,0.0,10550.5,14.0,14.0,300.0,8.0,45.74,0.00016666665,0.00903333331,0.99080000002
0.25,0.05,10650.5,14.0,14.0,300.0,8.0,47.94,3.333333e-05,0.00543333333,0.9945333333399999
0.25,0.1,10750.5,14.0,14.0,300.0,8.0,49.6,0.0,0.0183,0.9817
0.25,0.15,10850.5,14.0,14.0,300.0,8.0,50.28,0.0012,0.08733333329000001,0.91146666673
