[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
108,7,7,300,8,0,0.05,55,0,0.6,0.4
109,7,7,300,8,0,0.05,44,0,0.636666667,0.363333333
110,7,7,300,8,0,0.05,70,0,0.583333333,0.416666667
111,7,7,300,8,0,0.05,70,0,0.72,0.28
112,7,7,300,8,0,0.05,52,0,0.616666667,0.383333333
113,7,7,300,8,0,0.05,70,0,0.686666667,0.313333333
114,7,7,300,8,0,0.05,44,0,0.67,0.33
115,7,7,300,8,0,0.05,50,0,0.546666667,0.453333333
116,7,7,300,8,0,0.05,70,0,0.53,0.47
117,7,7,300,8,0,0.05,34,0,0.686666667,0.313333333
118,7,7,300,8,0,0.05,67,0,0.656666667,0.343333333
119,7,7,300,8,0,0.05,53,0,0.55,0.45
120,7,7,300,8,0,0.05,70,0,0.63,0.37
121,7,7,300,8,0,0.05,33,0,0.746666667,0.253333333
122,7,7,300,8,0,0.05,70,0,0.716666667,0.283333333
123,7,7,300,8,0,0.05,62,0,0.686666667,0.313333333
124,7,7,300,8,0,0.05,70,0,0.676666667,0.323333333
125,7,7,300,8,0,0.05,39,0,0.613333333,0.386666667
126,7,7,300,8,0,0.05,70,0,0.51,0.49
127,7,7,300,8,0,0.05,40,0,0.4,0.6
128,7,7,300,8,0,0.05,31,0,0.523333333,0.476666667
129,7,7,300,8,0,0.05,70,0,0.516666667,0.483333333
130,7,7,300,8,0,0.05,70,0,0.406666667,0.593333333
131,7,7,300,8,0,0.05,70,0,0.646666667,0.353333333
132,7,7,300,8,0,0.05,23,0,0.49,0.51
133,7,7,300,8,0,0.05,42,0,0.506666667,0.493333333
134,7,7,300,8,0,0.05,21,0,0.65,0.35
135,7,7,300,8,0,0.05,70,0,0.453333333,0.546666667
136,7,7,300,8,0,0.05,50,0,0.686666667,0.313333333
137,7,7,300,8,0,0.05,67,0,0.563333333,0.436666667
138,7,7,300,8,0,0.05,52,0,0.72,0.28
139,7,7,300,8,0,0.05,70,0,0.696666667,0.303333333
140,7,7,300,8,0,0.05,40,0,0.673333333,0.326666667
141,7,7,300,8,0,0.05,48,0,0.52,0.48
142,7,7,300,8,0,0.05,36,0,0.493333333,0.506666667
143,7,7,300,8,0,0.05,49,0,0.483333333,0.516666667
144,7,7,300,8,0,0.05,70,0,0.653333333,0.346666667
145,7,7,300,8,0,0.05,61,0,0.506666667,0.493333333
146,7,7,300,8,0,0.05,58,0,0.616666667,0.383333333
147,7,7,300,8,0,0.05,29,0,0.563333333,0.436666667
148,7,7,300,8,0,0.05,70,0,0.633333333,0.366666667
149,7,7,300,8,0,0.05,70,0,0.536666667,0.463333333
150,7,7,300,8,0,0.05,43,0,0.573333333,0.426666667
151,7,7,300,8,0,0.05,68,0,0.713333333,0.286666667
152,7,7,300,8,0,0.05,70,0,0.55,0.45
153,7,7,300,8,0,0.05,53,0,0.58,0.42
154,7,7,300,8,0,0.05,66,0,0.72,0.28
155,7,7,300,8,0,0.05,57,0,0.39,0.61
156,7,7,300,8,0,0.05,68,0,0.44,0.56
157,7,7,300,8,0,0.05,70,0,0.516666667,0.483333333
158,7,7,300,8,0,0.05,70,0,0.683333333,0.316666667
159,7,7,300,8,0,0.05,40,0,0.603333333,0.396666667
160,7,7,300,8,0,0.05,55,0,0.686666667,0.313333333
161,7,7,300,8,0,0.05,70,0,0.746666667,0.253333333
162,7,7,300,8,0,0.05,70,0,0.613333333,0.386666667
163,7,7,300,8,0,0.05,67,0,0.64,0.36
164,7,7,300,8,0,0.05,70,0,0.85,0.15
165,7,7,300,8,0,0.05,29,0,0.86,0.14
166,7,7,300,8,0,0.05,70,0,0.5,0.5
167,7,7,300,8,0,0.05,46,0,0.59,0.41
168,7,7,300,8,0,0.05,70,0,0.56,0.44
169,7,7,300,8,0,0.05,70,0,0.673333333,0.326666667
170,7,7,300,8,0,0.05,36,0,0.436666667,0.563333333
171,7,7,300,8,0,0.05,28,0,0.476666667,0.523333333
172,7,7,300,8,0,0.05,43,0,0.346666667,0.653333333
173,7,7,300,8,0,0.05,47,0,0.723333333,0.276666667
174,7,7,300,8,0,0.05,70,0,0.38,0.62
175,7,7,300,8,0,0.05,64,0,0.626666667,0.373333333
176,7,7,300,8,0,0.05,70,0,0.513333333,0.486666667
177,7,7,300,8,0,0.05,70,0,0.616666667,0.383333333
178,7,7,300,8,0,0.05,59,0,0.546666667,0.453333333
179,7,7,300,8,0,0.05,36,0,0.526666667,0.473333333
180,7,7,300,8,0,0.05,46,0,0.393333333,0.606666667
181,7,7,300,8,0,0.05,68,0,0.453333333,0.546666667
182,7,7,300,8,0,0.05,63,0,0.76,0.24
183,7,7,300,8,0,0.05,63,0,0.513333333,0.486666667
184,7,7,300,8,0,0.05,32,0,0.66,0.34
185,7,7,300,8,0,0.05,16,0,0.516666667,0.483333333
186,7,7,300,8,0,0.05,69,0,0.556666667,0.443333333
187,7,7,300,8,0,0.05,70,0,0.583333333,0.416666667
188,7,7,300,8,0,0.05,61,0,0.49,0.51
189,7,7,300,8,0,0.05,70,0,0.586666667,0.413333333
190,7,7,300,8,0,0.05,59,0,0.59,0.41
191,7,7,300,8,0,0.05,70,0,0.533333333,0.466666667
192,7,7,300,8,0,0.05,70,0,0.816666667,0.183333333
193,7,7,300,8,0,0.05,48,0,0.72,0.28
194,7,7,300,8,0,0.05,63,0,0.47,0.53
195,7,7,300,8,0,0.05,70,0,0.646666667,0.353333333
196,7,7,300,8,0,0.05,55,0,0.743333333,0.256666667
197,7,7,300,8,0,0.05,70,0,0.46,0.54
198,7,7,300,8,0,0.05,57,0,0.71,0.29
199,7,7,300,8,0,0.05,70,0,0.56,0.44
200,7,7,300,8,0,0.05,70,0,0.733333333,0.266666667
201,7,7,300,8,0,0.1,48,0,0.54,0.46
202,7,7,300,8,0,0.1,56,0,0.633333333,0.366666667
203,7,7,300,8,0,0.1,70,0,0.56,0.44
204,7,7,300,8,0,0.1,62,0,0.776666667,0.223333333
205,7,7,300,8,0,0.1,41,0,0.733333333,0.266666667
206,7,7,300,8,0,0.1,24,0,0.683333333,0.316666667
207,7,7,300,8,0,0.1,60,0,0.626666667,0.373333333
208,7,7,300,8,0,0.1,45,0,0.643333333,0.356666667
209,7,7,300,8,0,0.1,70,0,0.773333333,0.226666667
210,7,7,300,8,0,0.1,70,0,0.703333333,0.296666667
211,7,7,300,8,0,0.1,70,0,0.736666667,0.263333333
212,7,7,300,8,0,0.1,48,0,0.716666667,0.283333333
213,7,7,300,8,0,0.1,61,0,0.696666667,0.303333333
214,7,7,300,8,0,0.1,43,0,0.623333333,0.376666667
215,7,7,300,8,0,0.1,53,0,0.436666667,0.563333333
216,7,7,300,8,0,0.1,53,0,0.673333333,0.326666667
217,7,7,300,8,0,0.1,57,0,0.843333333,0.156666667
218,7,7,300,8,0,0.1,53,0,0.563333333,0.436666667
219,7,7,300,8,0,0.1,40,0,0.68,0.32
220,7,7,300,8,0,0.1,39,0,0.736666667,0.263333333
221,7,7,300,8,0,0.1,70,0,0.7,0.3
222,7,7,300,8,0,0.1,41,0,0.726666667,0.273333333
223,7,7,300,8,0,0.1,70,0,0.45,0.55
224,7,7,300,8,0,0.1,70,0,0.82,0.18
225,7,7,300,8,0,0.1,47,0,0.6,0.4
226,7,7,300,8,0,0.1,70,0,0.76,0.24
227,7,7,300,8,0,0.1,49,0,0.636666667,0.363333333
228,7,7,300,8,0,0.1,51,0,0.743333333,0.256666667
229,7,7,300,8,0,0.1,70,0,0.716666667,0.283333333
230,7,7,300,8,0,0.1,70,0,0.583333333,0.416666667
231,7,7,300,8,0,0.1,35,0,0.68,0.32
232,7,7,300,8,0,0.1,65,0,0.67,0.33
233,7,7,300,8,0,0.1,70,0,0.616666667,0.383333333
234,7,7,300,8,0,0.1,37,0,0.763333333,0.236666667
235,7,7,300,8,0,0.1,70,0,0.683333333,0.316666667
236,7,7,300,8,0,0.1,48,0,0.563333333,0.436666667
237,7,7,300,8,0,0.1,68,0,0.653333333,0.346666667
238,7,7,300,8,0,0.1,20,0,0.62,0.38
239,7,7,300,8,0,0.1,70,0,0.603333333,0.396666667
240,7,7,300,8,0,0.1,53,0,0.976666667,0.023333333
241,7,7,300,8,0,0.1,43,0,0.816666667,0.183333333
242,7,7,300,8,0,0.1,58,0,0.813333333,0.186666667
243,7,7,300,8,0,0.1,70,0,0.703333333,0.296666667
244,7,7,300,8,0,0.1,70,0,0.67,0.33
245,7,7,300,8,0,0.1,39,0,0.693333333,0.306666667
246,7,7,300,8,0,0.1,50,0,0.67,0.33
247,7,7,300,8,0,0.1,39,0,0.57,0.43
248,7,7,300,8,0,0.1,70,0,0.51,0.49
249,7,7,300,8,0,0.1,63,0,0.646666667,0.353333333
250,7,7,300,8,0,0.1,70,0,0.726666667,0.273333333
251,7,7,300,8,0,0.1,70,0,0.706666667,0.293333333
252,7,7,300,8,0,0.1,63,0,0.503333333,0.496666667
253,7,7,300,8,0,0.1,70,0,0.693333333,0.306666667
254,7,7,300,8,0,0.1,70,0,0.59,0.41
255,7,7,300,8,0,0.1,70,0,0.73,0.27
256,7,7,300,8,0,0.1,70,0,0.686666667,0.313333333
257,7,7,300,8,0,0.1,26,0,0.66,0.34
258,7,7,300,8,0,0.1,70,0,0.75,0.25
259,7,7,300,8,0,0.1,70,0,0.806666667,0.193333333
260,7,7,300,8,0,0.1,70,0,0.73,0.27
261,7,7,300,8,0,0.1,70,0,0.686666667,0.313333333
262,7,7,300,8,0,0.1,60,0,0.736666667,0.263333333
263,7,7,300,8,0,0.1,61,0,0.593333333,0.406666667
264,7,7,300,8,0,0.1,33,0,0.69,0.31
265,7,7,300,8,0,0.1,60,0,0.683333333,0.316666667
266,7,7,300,8,0,0.1,70,0,0.74,0.26
267,7,7,300,8,0,0.1,70,0,0.696666667,0.303333333
268,7,7,300,8,0,0.1,43,0,0.703333333,0.296666667
269,7,7,300,8,0,0.1,62,0,0.66,0.34
270,7,7,300,8,0,0.1,70,0,0.916666667,0.083333333
271,7,7,300,8,0,0.1,51,0,0.68,0.32
272,7,7,300,8,0,0.1,42,0,0.53,0.47
273,7,7,300,8,0,0.1,70,0,0.56,0.44
274,7,7,300,8,0,0.1,63,0,0.59,0.41
275,7,7,300,8,0,0.1,62,0,0.653333333,0.346666667
