[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
1,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
1,10,10,500,8,0.2,0.25,1,0.95,0.028,0.022
1,10,10,500,8,0.2,0.25,2,0.938,0.038,0.024
1,10,10,500,8,0.2,0.25,3,0.916,0.06,0.024
1,10,10,500,8,0.2,0.25,4,0.882,0.094,0.024
1,10,10,500,8,0.2,0.25,5,0.834,0.142,0.024
1,10,10,500,8,0.2,0.25,6,0.782,0.194,0.024
1,10,10,500,8,0.2,0.25,7,0.706,0.27,0.024
1,10,10,500,8,0.2,0.25,8,0.628,0.348,0.024
1,10,10,500,8,0.2,0.25,9,0.552,0.426,0.022
1,10,10,500,8,0.2,0.25,10,0.474,0.504,0.022
1,10,10,500,8,0.2,0.25,11,0.412,0.566,0.022
1,10,10,500,8,0.2,0.25,12,0.362,0.616,0.022
1,10,10,500,8,0.2,0.25,13,0.308,0.67,0.022
1,10,10,500,8,0.2,0.25,14,0.258,0.72,0.022
1,10,10,500,8,0.2,0.25,15,0.24,0.738,0.022
1,10,10,500,8,0.2,0.25,16,0.218,0.76,0.022
1,10,10,500,8,0.2,0.25,17,0.19,0.79,0.02
1,10,10,500,8,0.2,0.25,18,0.164,0.816,0.02
1,10,10,500,8,0.2,0.25,19,0.128,0.854,0.018
1,10,10,500,8,0.2,0.25,20,0.088,0.894,0.018
1,10,10,500,8,0.2,0.25,21,0.066,0.92,0.014
1,10,10,500,8,0.2,0.25,22,0.05,0.936,0.014
1,10,10,500,8,0.2,0.25,23,0.048,0.94,0.012
1,10,10,500,8,0.2,0.25,24,0.042,0.946,0.012
1,10,10,500,8,0.2,0.25,25,0.036,0.952,0.012
1,10,10,500,8,0.2,0.25,26,0.026,0.962,0.012
1,10,10,500,8,0.2,0.25,27,0.02,0.968,0.012
1,10,10,500,8,0.2,0.25,28,0.018,0.972,0.01
1,10,10,500,8,0.2,0.25,29,0.014,0.976,0.01
1,10,10,500,8,0.2,0.25,30,0.002,0.988,0.01
1,10,10,500,8,0.2,0.25,31,0,0.99,0.01
1,10,10,500,8,0.2,0.25,32,0,0.992,0.008
1,10,10,500,8,0.2,0.25,33,0,0.992,0.008
1,10,10,500,8,0.2,0.25,34,0,0.994,0.006
1,10,10,500,8,0.2,0.25,35,0,0.998,0.002
1,10,10,500,8,0.2,0.25,36,0,1,0
1,10,10,500,8,0.2,0.25,37,0,1,0
1,10,10,500,8,0.2,0.25,38,0,1,0
1,10,10,500,8,0.2,0.25,39,0,1,0
1,10,10,500,8,0.2,0.25,40,0,1,0
2,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
2,10,10,500,8,0.2,0.25,1,0.948,0.03,0.022
2,10,10,500,8,0.2,0.25,2,0.93,0.048,0.022
2,10,10,500,8,0.2,0.25,3,0.894,0.084,0.022
2,10,10,500,8,0.2,0.25,4,0.85,0.128,0.022
2,10,10,500,8,0.2,0.25,5,0.804,0.174,0.022
2,10,10,500,8,0.2,0.25,6,0.764,0.216,0.02
2,10,10,500,8,0.2,0.25,7,0.702,0.28,0.018
2,10,10,500,8,0.2,0.25,8,0.652,0.332,0.016
2,10,10,500,8,0.2,0.25,9,0.6,0.384,0.016
2,10,10,500,8,0.2,0.25,10,0.55,0.434,0.016
2,10,10,500,8,0.2,0.25,11,0.498,0.488,0.014
2,10,10,500,8,0.2,0.25,12,0.436,0.55,0.014
2,10,10,500,8,0.2,0.25,13,0.392,0.596,0.012
2,10,10,500,8,0.2,0.25,14,0.328,0.66,0.012
2,10,10,500,8,0.2,0.25,15,0.27,0.718,0.012
2,10,10,500,8,0.2,0.25,16,0.216,0.772,0.012
2,10,10,500,8,0.2,0.25,17,0.178,0.81,0.012
2,10,10,500,8,0.2,0.25,18,0.142,0.846,0.012
2,10,10,500,8,0.2,0.25,19,0.108,0.88,0.012
2,10,10,500,8,0.2,0.25,20,0.084,0.906,0.01
2,10,10,500,8,0.2,0.25,21,0.058,0.932,0.01
2,10,10,500,8,0.2,0.25,22,0.034,0.956,0.01
2,10,10,500,8,0.2,0.25,23,0.024,0.97,0.006
2,10,10,500,8,0.2,0.25,24,0.02,0.974,0.006
2,10,10,500,8,0.2,0.25,25,0.02,0.974,0.006
2,10,10,500,8,0.2,0.25,26,0.02,0.974,0.006
2,10,10,500,8,0.2,0.25,27,0.02,0.974,0.006
2,10,10,500,8,0.2,0.25,28,0.02,0.976,0.004
2,10,10,500,8,0.2,0.25,29,0.02,0.976,0.004
2,10,10,500,8,0.2,0.25,30,0.02,0.976,0.004
2,10,10,500,8,0.2,0.25,31,0.02,0.976,0.004
2,10,10,500,8,0.2,0.25,32,0.02,0.976,0.004
2,10,10,500,8,0.2,0.25,33,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,34,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,35,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,36,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,37,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,38,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,39,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,40,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,41,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,42,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,43,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,44,0.02,0.978,0.002
2,10,10,500,8,0.2,0.25,45,0.02,0.98,0
2,10,10,500,8,0.2,0.25,46,0.02,0.98,0
2,10,10,500,8,0.2,0.25,47,0.02,0.98,0
2,10,10,500,8,0.2,0.25,48,0.02,0.98,0
2,10,10,500,8,0.2,0.25,49,0.02,0.98,0
3,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
3,10,10,500,8,0.2,0.25,1,0.95,0.03,0.02
3,10,10,500,8,0.2,0.25,2,0.926,0.054,0.02
3,10,10,500,8,0.2,0.25,3,0.892,0.088,0.02
3,10,10,500,8,0.2,0.25,4,0.852,0.128,0.02
3,10,10,500,8,0.2,0.25,5,0.8,0.18,0.02
3,10,10,500,8,0.2,0.25,6,0.74,0.24,0.02
3,10,10,500,8,0.2,0.25,7,0.676,0.306,0.018
3,10,10,500,8,0.2,0.25,8,0.594,0.392,0.014
3,10,10,500,8,0.2,0.25,9,0.51,0.476,0.014
3,10,10,500,8,0.2,0.25,10,0.432,0.554,0.014
3,10,10,500,8,0.2,0.25,11,0.372,0.614,0.014
3,10,10,500,8,0.2,0.25,12,0.302,0.684,0.014
3,10,10,500,8,0.2,0.25,13,0.244,0.742,0.014
3,10,10,500,8,0.2,0.25,14,0.198,0.79,0.012
3,10,10,500,8,0.2,0.25,15,0.142,0.848,0.01
3,10,10,500,8,0.2,0.25,16,0.122,0.872,0.006
3,10,10,500,8,0.2,0.25,17,0.098,0.896,0.006
3,10,10,500,8,0.2,0.25,18,0.082,0.912,0.006
3,10,10,500,8,0.2,0.25,19,0.066,0.928,0.006
3,10,10,500,8,0.2,0.25,20,0.046,0.95,0.004
3,10,10,500,8,0.2,0.25,21,0.022,0.974,0.004
3,10,10,500,8,0.2,0.25,22,0.008,0.988,0.004
3,10,10,500,8,0.2,0.25,23,0,0.996,0.004
3,10,10,500,8,0.2,0.25,24,0,0.996,0.004
3,10,10,500,8,0.2,0.25,25,0,0.996,0.004
3,10,10,500,8,0.2,0.25,26,0,0.996,0.004
3,10,10,500,8,0.2,0.25,27,0,0.996,0.004
3,10,10,500,8,0.2,0.25,28,0,0.996,0.004
3,10,10,500,8,0.2,0.25,29,0,0.996,0.004
3,10,10,500,8,0.2,0.25,30,0,0.998,0.002
3,10,10,500,8,0.2,0.25,31,0,0.998,0.002
3,10,10,500,8,0.2,0.25,32,0,0.998,0.002
3,10,10,500,8,0.2,0.25,33,0,0.998,0.002
3,10,10,500,8,0.2,0.25,34,0,1,0
3,10,10,500,8,0.2,0.25,35,0,1,0
3,10,10,500,8,0.2,0.25,36,0,1,0
3,10,10,500,8,0.2,0.25,37,0,1,0
3,10,10,500,8,0.2,0.25,38,0,1,0
4,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
4,10,10,500,8,0.2,0.25,1,0.944,0.034,0.022
4,10,10,500,8,0.2,0.25,2,0.926,0.05,0.024
4,10,10,500,8,0.2,0.25,3,0.896,0.076,0.028
4,10,10,500,8,0.2,0.25,4,0.85,0.114,0.036
4,10,10,500,8,0.2,0.25,5,0.79,0.154,0.056
4,10,10,500,8,0.2,0.25,6,0.72,0.21,0.07
4,10,10,500,8,0.2,0.25,7,0.668,0.254,0.078
4,10,10,500,8,0.2,0.25,8,0.634,0.282,0.084
4,10,10,500,8,0.2,0.25,9,0.6,0.308,0.092
4,10,10,500,8,0.2,0.25,10,0.55,0.346,0.104
4,10,10,500,8,0.2,0.25,11,0.49,0.396,0.114
4,10,10,500,8,0.2,0.25,12,0.446,0.434,0.12
4,10,10,500,8,0.2,0.25,13,0.414,0.464,0.122
4,10,10,500,8,0.2,0.25,14,0.392,0.484,0.124
4,10,10,500,8,0.2,0.25,15,0.38,0.494,0.126
4,10,10,500,8,0.2,0.25,16,0.358,0.512,0.13
4,10,10,500,8,0.2,0.25,17,0.32,0.534,0.146
4,10,10,500,8,0.2,0.25,18,0.282,0.56,0.158
4,10,10,500,8,0.2,0.25,19,0.264,0.574,0.162
4,10,10,500,8,0.2,0.25,20,0.246,0.584,0.17
4,10,10,500,8,0.2,0.25,21,0.226,0.594,0.18
4,10,10,500,8,0.2,0.25,22,0.188,0.61,0.202
4,10,10,500,8,0.2,0.25,23,0.146,0.634,0.22
4,10,10,500,8,0.2,0.25,24,0.108,0.652,0.24
4,10,10,500,8,0.2,0.25,25,0.084,0.658,0.258
4,10,10,500,8,0.2,0.25,26,0.07,0.666,0.264
4,10,10,500,8,0.2,0.25,27,0.058,0.676,0.266
4,10,10,500,8,0.2,0.25,28,0.05,0.684,0.266
4,10,10,500,8,0.2,0.25,29,0.04,0.694,0.266
4,10,10,500,8,0.2,0.25,30,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,31,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,32,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,33,0.038,0.694,0.268
4,10,10,500,8,0.2,0.25,34,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,35,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,36,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,37,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,38,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,39,0.038,0.696,0.266
4,10,10,500,8,0.2,0.25,40,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,41,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,42,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,43,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,44,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,45,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,46,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,47,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,48,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,49,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,50,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,51,0.038,0.698,0.264
4,10,10,500,8,0.2,0.25,52,0.038,0.7,0.262
4,10,10,500,8,0.2,0.25,53,0.038,0.7,0.262
4,10,10,500,8,0.2,0.25,54,0.038,0.7,0.262
4,10,10,500,8,0.2,0.25,55,0.038,0.7,0.262
4,10,10,500,8,0.2,0.25,56,0.038,0.7,0.262
5,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
5,10,10,500,8,0.2,0.25,1,0.944,0.032,0.024
5,10,10,500,8,0.2,0.25,2,0.924,0.046,0.03
5,10,10,500,8,0.2,0.25,3,0.896,0.07,0.034
5,10,10,500,8,0.2,0.25,4,0.854,0.11,0.036
5,10,10,500,8,0.2,0.25,5,0.792,0.164,0.044
5,10,10,500,8,0.2,0.25,6,0.724,0.224,0.052
5,10,10,500,8,0.2,0.25,7,0.648,0.296,0.056
5,10,10,500,8,0.2,0.25,8,0.588,0.354,0.058
5,10,10,500,8,0.2,0.25,9,0.532,0.408,0.06
5,10,10,500,8,0.2,0.25,10,0.49,0.446,0.064
5,10,10,500,8,0.2,0.25,11,0.45,0.482,0.068
5,10,10,500,8,0.2,0.25,12,0.408,0.518,0.074
5,10,10,500,8,0.2,0.25,13,0.364,0.55,0.086
5,10,10,500,8,0.2,0.25,14,0.312,0.59,0.098
5,10,10,500,8,0.2,0.25,15,0.272,0.616,0.112
5,10,10,500,8,0.2,0.25,16,0.244,0.628,0.128
5,10,10,500,8,0.2,0.25,17,0.2,0.646,0.154
5,10,10,500,8,0.2,0.25,18,0.156,0.664,0.18
5,10,10,500,8,0.2,0.25,19,0.118,0.694,0.188
5,10,10,500,8,0.2,0.25,20,0.088,0.722,0.19
5,10,10,500,8,0.2,0.25,21,0.066,0.74,0.194
5,10,10,500,8,0.2,0.25,22,0.054,0.75,0.196
5,10,10,500,8,0.2,0.25,23,0.044,0.754,0.202
5,10,10,500,8,0.2,0.25,24,0.03,0.76,0.21
5,10,10,500,8,0.2,0.25,25,0.022,0.764,0.214
5,10,10,500,8,0.2,0.25,26,0.01,0.776,0.214
5,10,10,500,8,0.2,0.25,27,0.004,0.782,0.214
5,10,10,500,8,0.2,0.25,28,0,0.786,0.214
5,10,10,500,8,0.2,0.25,29,0,0.788,0.212
5,10,10,500,8,0.2,0.25,30,0,0.792,0.208
5,10,10,500,8,0.2,0.25,31,0,0.794,0.206
5,10,10,500,8,0.2,0.25,32,0,0.794,0.206
5,10,10,500,8,0.2,0.25,33,0,0.794,0.206
5,10,10,500,8,0.2,0.25,34,0,0.794,0.206
5,10,10,500,8,0.2,0.25,35,0,0.794,0.206
5,10,10,500,8,0.2,0.25,36,0,0.794,0.206
5,10,10,500,8,0.2,0.25,37,0,0.796,0.204
5,10,10,500,8,0.2,0.25,38,0,0.796,0.204
5,10,10,500,8,0.2,0.25,39,0,0.796,0.204
5,10,10,500,8,0.2,0.25,40,0,0.796,0.204
5,10,10,500,8,0.2,0.25,41,0,0.796,0.204
5,10,10,500,8,0.2,0.25,42,0,0.796,0.204
5,10,10,500,8,0.2,0.25,43,0,0.796,0.204
5,10,10,500,8,0.2,0.25,44,0,0.796,0.204
5,10,10,500,8,0.2,0.25,45,0,0.796,0.204
5,10,10,500,8,0.2,0.25,46,0,0.796,0.204
5,10,10,500,8,0.2,0.25,47,0,0.796,0.204
5,10,10,500,8,0.2,0.25,48,0,0.796,0.204
5,10,10,500,8,0.2,0.25,49,0,0.796,0.204
5,10,10,500,8,0.2,0.25,50,0,0.798,0.202
5,10,10,500,8,0.2,0.25,51,0,0.798,0.202
5,10,10,500,8,0.2,0.25,52,0,0.798,0.202
5,10,10,500,8,0.2,0.25,53,0,0.798,0.202
5,10,10,500,8,0.2,0.25,54,0,0.798,0.202
6,10,10,500,8,0.2,0.25,0,0.96,0.02,0.02
6,10,10,500,8,0.2,0.25,1,0.958,0.022,0.02
6,10,10,500,8,0.2,0.25,2,0.95,0.03,0.02
6,10,10,500,8,0.2,0.25,3,0.934,0.046,0.02
6,10,10,500,8,0.2,0.25,4,0.918,0.062,0.02
6,10,10,500,8,0.2,0.25,5,0.892,0.088,0.02
6,10,10,500,8,0.2,0.25,6,0.868,0.112,0.02
